Algorithms,Algorithm_ID,DPA_METHODS,FEE_METHODS,FES_METHODS,CLF_METHODS,END_METHODS,END_TO_END_METHODS,DPA_METHODS_ID,FEE_METHODS_ID,FES_METHODS_ID,CLF_METHODS_ID,END_METHODS_ID,END_TO_END_METHODS_ID,train_score,test_score,trainacc_0,testacc_0,traintime_0,testtime_0,trainacc_1,testacc_1,traintime_1,testtime_1,trainacc_2,testacc_2,traintime_2,testtime_2,trainacc_3,testacc_3,traintime_3,testtime_3,trainacc_4,testacc_4,traintime_4,testtime_4,trainacc_5,testacc_5,traintime_5,testtime_5,mean_trainacc,mean_testacc,mean_traintime,mean_testtime
TLDUMMY-FGMDM-RFC,"[0, 4, 0, 6, 0, 0]",TLDUMMY,FGMDM,,RFC,,,0,4,0,6,0,0,1,0.607777778,1,0.558888889,0.386546755,0.249935699,1,0.745555556,0.381618929,0.270702314,1,0.647777778,0.364106321,0.248207903,1,0.705555556,0.381338263,0.267575693,1,0.587777778,0.383581519,0.244191766,1,0.607777778,0.435690045,0.260036469,1,0.642222222,0.388813639,0.256774974
TLDUMMY-FGMDM-ABC,"[0, 4, 0, 8, 0, 0]",TLDUMMY,FGMDM,,ABC,,,0,4,0,8,0,0,1,0.617777778,1,0.556666667,0.258749843,0.258963299,1,0.747777778,0.25472424,0.231994605,1,0.641111111,0.247010326,0.250332332,1,0.704444444,0.23294363,0.2261163,1,0.585555556,0.233995342,0.256392145,1,0.617777778,0.265526175,0.255598783,1,0.642222222,0.248824926,0.246566244
EA-CSP-RFECV-LDA,"[1, 1, 8, 2, 0, 0]",EA,CSP,RFECV,LDA,,,1,1,8,2,0,0,0.550666667,0.565555556,0.575333333,0.512222222,0.243132114,0.183702087,0.778,0.777777778,0.259423757,0.203914428,0.862666667,0.715555556,0.237429166,0.185637307,0.741333333,0.612222222,0.22618959,0.18219738,0.68,0.67,0.226456046,0.200249362,0.550666667,0.565555556,0.255922198,0.192408609,0.698,0.642222222,0.241425478,0.191351529
EA-ABC-TS-GLM,"[1, 0, 0, 0, 7, 0]",EA,,,,ABC-TS-GLM,,1,0,0,0,7,0,0.616666667,0.634444444,0.758,0.556666667,19.46146855,1.156693816,0.912666667,0.72,17.83436351,1.162819457,0.879333333,0.641111111,18.42906704,1.159529352,0.863333333,0.664444444,11.2296505,0.56740098,0.616666667,0.634444444,18.68426821,1.176970029,0.616666667,0.634444444,18.68426821,1.176970029,0.774444444,0.641851852,17.387181,1.066730611
EA-ABC-TS-LR,"[1, 0, 0, 0, 6, 0]",EA,,,,ABC-TS-LR,,1,0,0,0,6,0,0.616666667,0.634444444,0.758,0.556666667,19.53060222,1.151854873,0.912666667,0.72,17.11267583,1.168780708,0.879333333,0.641111111,17.13460457,1.155912852,0.863333333,0.664444444,9.612924981,0.65727458,0.616666667,0.634444444,19.48004906,1.119643545,0.616666667,0.634444444,19.48004906,1.119643545,0.774444444,0.641851852,17.05848429,1.062185017
EA-CSP-RFECV-LR,"[1, 1, 8, 3, 0, 0]",EA,CSP,RFECV,LR,,,1,1,8,3,0,0,0.552,0.562222222,0.568,0.513333333,0.250201631,0.195280266,0.783333333,0.783333333,0.260272765,0.173563004,0.866,0.72,0.24217329,0.183632851,0.709333333,0.602222222,0.243745661,0.197191596,0.684,0.67,0.239524388,0.181366444,0.552,0.562222222,0.290365672,0.208690429,0.693777778,0.641851852,0.254380568,0.189954098
RA-CSP-MIC-P-LDA,"[2, 1, 4, 2, 0, 0]",RA,CSP,MIC-P,LDA,,,2,1,4,2,0,0,0.539333333,0.553333333,0.588,0.513333333,0.25134244,0.18606441,0.768,0.791111111,0.248580933,0.200192142,0.825333333,0.746666667,0.234442616,0.184741688,0.667333333,0.594444444,0.232653236,0.188539124,0.632,0.652222222,0.250920844,0.18796804,0.539333333,0.553333333,0.252173567,0.17770319,0.67,0.641851852,0.245018939,0.187534765
EA-TS-MIC-P-LDA,"[1, 5, 4, 2, 0, 0]",EA,TS,MIC-P,LDA,,,1,5,4,2,0,0,0.702666667,0.611111111,0.832,0.543333333,0.251085377,0.204829097,0.899333333,0.738888889,0.253398919,0.19745152,0.884,0.657777778,0.25151186,0.20328753,0.885333333,0.697777778,0.236736369,0.200278401,0.684,0.601111111,0.230978584,0.205510902,0.702666667,0.611111111,0.30445292,0.220339918,0.814555556,0.641666667,0.254694005,0.205282895
RA-ABC-MDM,"[2, 0, 0, 0, 3, 0]",RA,,,,ABC-MDM,,2,0,0,0,3,0,0.615333333,0.621111111,0.768666667,0.551111111,16.25182102,1.18536098,0.906,0.702222222,12.05929713,0.867312312,0.815333333,0.643333333,11.18308573,0.751067877,0.798666667,0.665555556,7.356692743,0.531988335,0.798666667,0.665555556,7.356692743,0.531988335,0.615333333,0.621111111,16.02399533,1.257785416,0.783777778,0.641481481,11.70526412,0.854250542
RA-CSP-RFECV-SVM,"[2, 1, 8, 1, 0, 0]",RA,CSP,RFECV,SVM,,,2,1,8,1,0,0,0.556666667,0.584444444,0.593333333,0.506666667,0.414325166,0.192641234,0.786666667,0.768888889,0.427674532,0.17682209,0.838666667,0.753333333,0.419187856,0.186300588,0.718,0.591111111,0.411471701,0.194424677,0.679333333,0.644444444,0.371051836,0.178253555,0.556666667,0.584444444,0.400163579,0.167330647,0.695444444,0.641481481,0.407312445,0.182628798
TLDUMMY-TS-ANOVA-P-SVM,"[0, 5, 2, 1, 0, 0]",TLDUMMY,TS,ANOVA-P,SVM,,,0,5,2,1,0,0,0.898,0.61,0.946,0.568888889,0.247344351,0.203429437,0.956666667,0.72,0.256573319,0.198772693,0.970666667,0.648888889,0.246423316,0.201172471,0.952666667,0.696666667,0.233776188,0.202513528,0.963333333,0.603333333,0.242626572,0.202514005,0.898,0.61,0.260555029,0.198311591,0.947888889,0.641296296,0.247883129,0.201118954
RA-ABC-TS-LASSO-LDA,"[2, 0, 0, 0, 18, 0]",RA,,,,ABC-TS-LASSO-LDA,,2,0,0,0,18,0,0.610666667,0.563333333,0.71,0.557777778,0.793228579,0.219471478,0.832,0.675555556,0.880111504,0.203095794,0.702666667,0.614444444,0.910182285,0.206473374,0.734,0.717777778,0.737505388,0.226793504,0.734,0.717777778,0.737505388,0.226793504,0.610666667,0.563333333,0.892014599,0.199594116,0.720555556,0.641111111,0.82509129,0.213703628
EA-CSP-LR,"[1, 1, 0, 3, 0, 0]",EA,CSP,,LR,,,1,1,0,3,0,0,0.559333333,0.603333333,0.580666667,0.498888889,0.242800021,0.197116017,0.794666667,0.777777778,0.255449247,0.187218523,0.85,0.697777778,0.237672305,0.190697765,0.706,0.607777778,0.236575627,0.176992655,0.697333333,0.66,0.244940448,0.186120296,0.559333333,0.603333333,0.24815464,0.193297625,0.698,0.640925926,0.244265381,0.188573813
EA-CSP-ANOVA-K-LR,"[1, 1, 1, 3, 0, 0]",EA,CSP,ANOVA-K,LR,,,1,1,1,3,0,0,0.559333333,0.603333333,0.580666667,0.498888889,0.246496797,0.18861208,0.794666667,0.777777778,0.249864721,0.190917039,0.85,0.697777778,0.242287278,0.180917168,0.706,0.607777778,0.238460588,0.185398316,0.697333333,0.66,0.233393431,0.179278183,0.559333333,0.603333333,0.265213919,0.182476521,0.698,0.640925926,0.245952789,0.184599884
EA-CSP-MIC-K-LR,"[1, 1, 3, 3, 0, 0]",EA,CSP,MIC-K,LR,,,1,1,3,3,0,0,0.559333333,0.603333333,0.580666667,0.498888889,0.250556469,0.180373478,0.794666667,0.777777778,0.272439623,0.210902619,0.85,0.697777778,0.248193264,0.181297088,0.706,0.607777778,0.233692265,0.175474596,0.697333333,0.66,0.224336839,0.186219907,0.559333333,0.603333333,0.26605289,0.196541953,0.698,0.640925926,0.249211891,0.188468273
EA-CSP-RFE-LR,"[1, 1, 7, 3, 0, 0]",EA,CSP,RFE,LR,,,1,1,7,3,0,0,0.559333333,0.603333333,0.580666667,0.498888889,0.252440858,0.185076642,0.794666667,0.777777778,0.248070431,0.193130922,0.85,0.697777778,0.246211457,0.178305221,0.706,0.607777778,0.221311498,0.180264878,0.697333333,0.66,0.223386407,0.184635735,0.559333333,0.603333333,0.253557706,0.193359613,0.698,0.640925926,0.240829726,0.185795502
RA-CSP-MIC-P-MLP,"[2, 1, 4, 11, 0, 0]",RA,CSP,MIC-P,MLP,,,2,1,4,11,0,0,0.544,0.553333333,0.588,0.512222222,0.361724782,0.185923338,0.770666667,0.786666667,0.376698756,0.1868819,0.830666667,0.741111111,0.432099962,0.169129729,0.67,0.592222222,0.415851641,0.177595258,0.634666667,0.658888889,0.400739098,0.173892021,0.544,0.553333333,0.436770225,0.158749771,0.673,0.640740741,0.403980744,0.175362003
RA-CSP-SVM,"[2, 1, 0, 1, 0, 0]",RA,CSP,,SVM,,,2,1,0,1,0,0,0.561333333,0.584444444,0.602,0.522222222,0.531819487,0.178483176,0.798666667,0.763333333,0.508740282,0.17124567,0.862666667,0.722222222,0.524985838,0.19841547,0.735333333,0.601111111,0.512890005,0.194988203,0.698,0.65,0.484120655,0.177370501,0.561333333,0.584444444,0.618566227,0.261614561,0.709666667,0.640555556,0.530187082,0.197019597
RA-CSP-ANOVA-K-SVM,"[2, 1, 1, 1, 0, 0]",RA,CSP,ANOVA-K,SVM,,,2,1,1,1,0,0,0.561333333,0.584444444,0.602,0.522222222,0.364872932,0.258585286,0.798666667,0.763333333,0.263907933,0.178634429,0.862666667,0.722222222,0.250010991,0.181383944,0.735333333,0.601111111,0.232256365,0.182408381,0.698,0.65,0.229463124,0.176389289,0.561333333,0.584444444,0.275987148,0.205016446,0.709666667,0.640555556,0.269416416,0.197069629
RA-CSP-MIC-K-SVM,"[2, 1, 3, 1, 0, 0]",RA,CSP,MIC-K,SVM,,,2,1,3,1,0,0,0.561333333,0.584444444,0.602,0.522222222,0.262746334,0.191926789,0.798666667,0.763333333,0.268149781,0.185742092,0.862666667,0.722222222,0.269733572,0.18557775,0.735333333,0.601111111,0.266619396,0.16648941,0.698,0.65,0.260165071,0.182595229,0.561333333,0.584444444,0.305616474,0.202060461,0.709666667,0.640555556,0.272171772,0.185731955
RA-CSP-RFE-SVM,"[2, 1, 7, 1, 0, 0]",RA,CSP,RFE,SVM,,,2,1,7,1,0,0,0.561333333,0.584444444,0.602,0.522222222,0.257493663,0.180497932,0.798666667,0.763333333,0.264159894,0.186884189,0.862666667,0.722222222,0.252774334,0.193163276,0.735333333,0.601111111,0.256419015,0.194919324,0.698,0.65,0.237186337,0.168566251,0.561333333,0.584444444,0.261135244,0.189757228,0.709666667,0.640555556,0.254861414,0.185631367
RA-ABC-TS-RFECV-LR,"[2, 0, 0, 0, 25, 0]",RA,,,,ABC-TS-RFECV-LR,,2,0,0,0,25,0,0.665333333,0.59,0.774,0.568888889,682.633635,0.813100839,0.93,0.715555556,636.134677,0.887240553,0.853333333,0.63,600.8141108,0.80107615,0.834,0.668888889,434.8248912,0.613052392,0.834,0.668888889,434.8248912,0.613052392,0.665333333,0.59,422.0244669,0.675582194,0.815111111,0.64037037,535.2094453,0.733850753
RA-CSP-LASSO-SVM,"[2, 1, 6, 1, 0, 0]",RA,CSP,LASSO,SVM,,,2,1,6,1,0,0,0.548666667,0.558888889,0.586,0.527777778,0.249545193,0.183280873,0.788,0.771111111,0.256687546,0.181323338,0.873333333,0.725555556,0.260817862,0.197087646,0.739333333,0.608888889,0.231354237,0.183795142,0.692,0.647777778,0.22788043,0.172563076,0.548666667,0.558888889,0.250574303,0.180484128,0.704555556,0.64,0.246143262,0.183089034
RA-CSP-LASSO-MLP,"[2, 1, 6, 11, 0, 0]",RA,CSP,LASSO,MLP,,,2,1,6,11,0,0,0.55,0.574444444,0.586666667,0.528888889,0.398336864,0.162150526,0.790666667,0.766666667,0.40601542,0.201107049,0.87,0.698888889,0.481349897,0.180548453,0.738,0.606666667,0.505854368,0.183035636,0.702666667,0.664444444,0.448139,0.17006526,0.55,0.574444444,0.355722499,0.177485085,0.706333333,0.64,0.432569675,0.179065335
RA-ABC-TS-PCA-LR,"[2, 0, 0, 0, 16, 0]",RA,,,,ABC-TS-PCA-LR,,2,0,0,0,16,0,0.684,0.604444444,0.757333333,0.558888889,19.33703034,0.980951619,0.896666667,0.718888889,19.66924162,1.221687555,0.882,0.652222222,20.61339464,1.238502574,0.812666667,0.652222222,9.444671631,0.491780233,0.812666667,0.652222222,9.444671631,0.491780233,0.684,0.604444444,18.4292803,1.063515425,0.807555556,0.639814815,16.15638169,0.91470294
EA-CSP-LASSO-LR,"[1, 1, 6, 3, 0, 0]",EA,CSP,LASSO,LR,,,1,1,6,3,0,0,0.554666667,0.582222222,0.567333333,0.495555556,0.242410922,0.189199686,0.791333333,0.781111111,0.246740961,0.188764691,0.850666667,0.704444444,0.235794449,0.192653298,0.713333333,0.613333333,0.235113859,0.19235003,0.703333333,0.661111111,0.235479784,0.185826755,0.554666667,0.582222222,0.260293293,0.194569349,0.696777778,0.63962963,0.242638878,0.190560635
EA-CSP-RFECV-SVM,"[1, 1, 8, 1, 0, 0]",EA,CSP,RFECV,SVM,,,1,1,8,1,0,0,0.560666667,0.555555556,0.574,0.506666667,0.411633134,0.19542141,0.776,0.771111111,0.430054045,0.171147656,0.861333333,0.738888889,0.424163651,0.19829576,0.716,0.601111111,0.384469628,0.171545339,0.68,0.664444444,0.384389877,0.185989928,0.560666667,0.555555556,0.431219506,0.170913172,0.694666667,0.63962963,0.410988307,0.182218877
EA-ABC-TS-ANOVA-P-LR,"[1, 0, 0, 0, 31, 0]",EA,,,,ABC-TS-ANOVA-P-LR,,1,0,0,0,31,0,0.72,0.602222222,0.724666667,0.563333333,19.02576206,1.039872289,0.909333333,0.734444444,18.64487433,1.064077568,0.878,0.66,18.55396612,1.020514059,0.845333333,0.673333333,10.82809355,0.586892366,0.72,0.602222222,20.74015274,1.255428815,0.72,0.602222222,20.74015274,1.255428815,0.799555556,0.639259259,18.08883359,1.037035652
TLDUMMY-TS-PCA-RFC,"[0, 5, 5, 6, 0, 0]",TLDUMMY,TS,PCA,RFC,,,0,5,5,6,0,0,1,0.612222222,1,0.528888889,0.455203199,0.202706289,1,0.73,0.469281983,0.211850119,1,0.697777778,0.465545321,0.225598311,1,0.666666667,0.428102446,0.215796018,1,0.598888889,0.44393003,0.212997127,1,0.612222222,0.462403488,0.211523366,1,0.639074074,0.454077744,0.213411872
RA-TS-PCA-RFC,"[2, 5, 5, 6, 0, 0]",RA,TS,PCA,RFC,,,2,5,5,6,0,0,0.766666667,0.617777778,0.747333333,0.526666667,0.435288453,0.22265234,0.886,0.753333333,0.46457696,0.215589118,0.844,0.674444444,0.449834538,0.224593878,0.911333333,0.667777778,0.43497963,0.209970593,0.789333333,0.594444444,0.449058628,0.221626472,0.766666667,0.617777778,0.515469766,0.261134338,0.824111111,0.639074074,0.458201329,0.22592779
EA-CSP-ANOVA-P-ABC,"[1, 1, 2, 8, 0, 0]",EA,CSP,ANOVA-P,ABC,,,1,1,2,8,0,0,0.555333333,0.557777778,0.596666667,0.507777778,0.331600642,0.210624933,0.769333333,0.761111111,0.325769877,0.208240032,0.857333333,0.717777778,0.335533166,0.194906402,0.681333333,0.623333333,0.317948413,0.190931726,0.622,0.665555556,0.336424494,0.199948859,0.555333333,0.557777778,0.346708989,0.200100398,0.680333333,0.638888889,0.33233093,0.200792058
EA-CSP-LASSO-MLP,"[1, 1, 6, 11, 0, 0]",EA,CSP,LASSO,MLP,,,1,1,6,11,0,0,0.567333333,0.564444444,0.587333333,0.518888889,0.401601076,0.171494508,0.792,0.775555556,0.405376291,0.189690518,0.874,0.695555556,0.449056125,0.175952435,0.711333333,0.61,0.423099518,0.169889665,0.713333333,0.667777778,0.431365848,0.18482542,0.567333333,0.564444444,0.566053367,0.147311807,0.707555556,0.638703704,0.446092037,0.173194059
EA-CSP-SVM,"[1, 1, 0, 1, 0, 0]",EA,CSP,,SVM,,,1,1,0,1,0,0,0.570666667,0.594444444,0.581333333,0.505555556,0.272875023,0.182491159,0.790666667,0.762222222,0.275216866,0.185488558,0.863333333,0.705555556,0.265511227,0.192146397,0.705333333,0.605555556,0.257048798,0.168085027,0.696,0.657777778,0.244178677,0.173601699,0.570666667,0.594444444,0.284544587,0.190277314,0.701222222,0.638518519,0.266562529,0.182015026
EA-CSP-ANOVA-K-SVM,"[1, 1, 1, 1, 0, 0]",EA,CSP,ANOVA-K,SVM,,,1,1,1,1,0,0,0.570666667,0.594444444,0.581333333,0.505555556,0.256709886,0.194156504,0.790666667,0.762222222,0.242660379,0.182585835,0.863333333,0.705555556,0.236349845,0.184967232,0.705333333,0.605555556,0.238711333,0.178318071,0.696,0.657777778,0.232624125,0.177976704,0.570666667,0.594444444,0.25711112,0.182469869,0.701222222,0.638518519,0.244027781,0.183412369
EA-CSP-MIC-K-SVM,"[1, 1, 3, 1, 0, 0]",EA,CSP,MIC-K,SVM,,,1,1,3,1,0,0,0.570666667,0.594444444,0.581333333,0.505555556,0.258038354,0.190300655,0.790666667,0.762222222,0.29564147,0.211217117,0.863333333,0.705555556,0.270221353,0.186317348,0.705333333,0.605555556,0.25060029,0.185813189,0.696,0.657777778,0.253028655,0.191444206,0.570666667,0.594444444,0.28285923,0.18618269,0.701222222,0.638518519,0.268398225,0.191879201
EA-CSP-RFE-SVM,"[1, 1, 7, 1, 0, 0]",EA,CSP,RFE,SVM,,,1,1,7,1,0,0,0.570666667,0.594444444,0.581333333,0.505555556,0.244008255,0.183167744,0.790666667,0.762222222,0.258156848,0.185867834,0.863333333,0.705555556,0.256405401,0.18832612,0.705333333,0.605555556,0.230977392,0.175504684,0.696,0.657777778,0.237815952,0.175969768,0.570666667,0.594444444,0.265905237,0.195480633,0.701222222,0.638518519,0.248878181,0.184052797
EA-TS-PCA-MLP,"[1, 5, 5, 11, 0, 0]",EA,TS,PCA,MLP,,,1,5,5,11,0,0,0.851333333,0.633333333,0.776,0.565555556,0.591225219,0.203723097,0.992,0.682222222,0.557063985,0.216488385,0.950666667,0.641111111,0.565052009,0.202038741,0.915333333,0.696666667,0.621492314,0.199982858,0.641333333,0.612222222,0.524002337,0.19921248,0.851333333,0.633333333,0.616117573,0.221576309,0.854444444,0.638518519,0.579158906,0.207170312
EA-CSP-RFECV-GNB,"[1, 1, 8, 10, 0, 0]",EA,CSP,RFECV,GNB,,,1,1,8,10,0,0,0.545333333,0.546666667,0.568,0.532222222,0.242002416,0.19053452,0.734666667,0.716666667,0.236409497,0.184374905,0.86,0.726666667,0.247945809,0.191210175,0.645333333,0.624444444,0.233110332,0.188437653,0.566,0.683333333,0.235533333,0.188087726,0.545333333,0.546666667,0.262975836,0.201946115,0.653222222,0.638333333,0.242996204,0.190765182
TLDUMMY-CSP-RFECV-LDA,"[0, 1, 8, 2, 0, 0]",TLDUMMY,CSP,RFECV,LDA,,,0,1,8,2,0,0,0.582,0.601111111,0.670666667,0.52,0.247856045,0.17862823,0.799333333,0.76,0.249000406,0.189487815,0.901333333,0.717777778,0.244108939,0.189240122,0.787333333,0.604444444,0.243963218,0.190417886,0.806666667,0.625555556,0.231983638,0.186476994,0.582,0.601111111,0.266740847,0.202682877,0.757888889,0.638148148,0.247275515,0.189488987
EA-TS-PCA-RFC,"[1, 5, 5, 6, 0, 0]",EA,TS,PCA,RFC,,,1,5,5,6,0,0,0.763333333,0.624444444,0.705333333,0.536666667,0.457150245,0.216844893,0.872666667,0.744444444,0.473691344,0.226082373,0.796666667,0.686666667,0.424197125,0.207969213,0.900666667,0.644444444,0.415720057,0.220576143,0.772666667,0.592222222,0.430455685,0.203998137,0.763333333,0.624444444,0.51098454,0.217374516,0.801888889,0.638148148,0.452033166,0.215474212
RA-CSP-LR,"[2, 1, 0, 3, 0, 0]",RA,CSP,,LR,,,2,1,0,3,0,0,0.546666667,0.591111111,0.61,0.522222222,0.248933315,0.193722391,0.802666667,0.773333333,0.243392801,0.187931728,0.850666667,0.692222222,0.242944121,0.184432745,0.717333333,0.601111111,0.237071157,0.170290661,0.698,0.648888889,0.230574989,0.186769414,0.546666667,0.591111111,0.300854635,0.219996691,0.704222222,0.638148148,0.250628503,0.190523938
RA-CSP-ANOVA-K-LR,"[2, 1, 1, 3, 0, 0]",RA,CSP,ANOVA-K,LR,,,2,1,1,3,0,0,0.546666667,0.591111111,0.61,0.522222222,0.302297068,0.207282591,0.802666667,0.773333333,0.251511455,0.19094975,0.850666667,0.692222222,0.235539103,0.191557336,0.717333333,0.601111111,0.242823958,0.18182478,0.698,0.648888889,0.237650466,0.181145382,0.546666667,0.591111111,0.288745809,0.208618712,0.704222222,0.638148148,0.25976131,0.193563092
RA-CSP-MIC-K-LR,"[2, 1, 3, 3, 0, 0]",RA,CSP,MIC-K,LR,,,2,1,3,3,0,0,0.546666667,0.591111111,0.61,0.522222222,0.244789815,0.187666082,0.802666667,0.773333333,0.257825017,0.19073329,0.850666667,0.692222222,0.237185287,0.196968031,0.717333333,0.601111111,0.22069881,0.185985804,0.698,0.648888889,0.227276087,0.178625917,0.546666667,0.591111111,0.24974463,0.177099419,0.704222222,0.638148148,0.239586608,0.186179757
